Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0336643	93	41	35	89	28	36	48	61	49	45	38	45	47.9	53	43	0.823	-0.282	-0.884	0.376579153898541	0.943556866631825	0	0.1843	0.0512	0.0512	TRUE	0.1305
FBtr0336644	2315	919	1172	1590	1013	979	1196	1376	1651	813	1392	1214	1273.75	1408	1140	0.809	-0.305	-1.045	0.295927723178373	0.898628194444461	0.046	0.0918	0.0607	0.0607	TRUE	0.7711
FBtr0336645	390	179	260	482	274	354	202	268	366	246	377	439	316.31	279	354	1.272	0.347	0.968	0.333204018656606	0.925595669103179	0.0833	0.1028	0.0891	0.0891	TRUE	0.4043
FBtr0336646	1234	544	509	612	217	443	638	815	717	313	298	549	554.95	723	387	0.535	-0.903	-2.789	0.00529244173269352	0.092535187652911	0.064	0.0965	0.0734	0.0734	TRUE	1.5256
FBtr0336647	330	179	135	325	167	150	171	268	190	166	230	186	201.74	210	194	0.927	-0.11	-0.374	0.708136577602383	0.999426402835281	0.037	0.111	0.0569	0.0569	TRUE	0.6126
FBtr0336648	37	12	10	38	18	10	19	18	14	19	25	12	17.96	17	19	1.091	0.126	0.25	0.802217022999992	0.999426402835281	0	0.3444	0.1251	0.1251	TRUE	0.2014
FBtr0336649	144	66	47	176	55	66	74	99	66	90	76	82	81.14	80	83	1.045	0.063	0.216	0.829255604538566	0.999426402835281	0.0084	0.1449	0.0486	0.0486	TRUE	0.3298
FBtr0336650	129	58	42	161	49	60	67	87	59	82	67	74	72.79	71	74	1.066	0.092	0.31	0.756690841066011	0.999426402835281	0.0067	0.1514	0.0495	0.0495	TRUE	0.2798
FBtr0336651	158	80	52	219	58	63	82	120	73	112	80	78	90.75	92	90	0.996	-0.005	-0.015	0.987911221221631	0.999426402835281	0.0435	0.1389	0.0717	0.0717	TRUE	0.6014
FBtr0336652	142	70	46	200	52	57	73	105	65	102	71	71	81.23	81	81	1.021	0.031	0.089	0.929360387938359	0.999426402835281	0.0417	0.1448	0.0724	0.0724	TRUE	0.557
FBtr0336658	3841	1198	1378	2684	1048	1438	1985	1794	1941	1372	1441	1784	1719.26	1907	1532	0.803	-0.317	-1.645	0.0998696128879469	0.597024806279327	0.0109	0.0909	0.0261	0.0261	TRUE	0.2474
FBtr0336666	2502	725	943	1849	843	922	1293	1086	1328	945	1159	1144	1159.02	1236	1083	0.875	-0.193	-0.976	0.328933612891985	0.924047387701778	0.0104	0.0922	0.0273	0.0273	TRUE	0.1523
FBtr0336667	58	23	6	340	58	104	30	34	8	174	80	129	75.89	24	128	5.216	2.383	4.302	1.69270709994016e-05	0.000831433296666484	0.2282	0.1488	0.1945	0.1945	TRUE	0.1937
FBtr0336678	1	0	1	2	2	3	1	0	1	1	3	4	1.57	1	3	3.793	1.923	1.158	0.247023584415876	NA	0	3.019	1.0444	1.0444	TRUE	0.4684
FBtr0336679	1	0	1	16	2	5	1	0	1	8	3	6	3.18	1	6	9.421	3.236	2.285	0.0223322255363646	NA	0	1.5368	0.6368	0.6368	TRUE	0.1409
FBtr0336682	1	1	0	0	0	0	1	1	0	0	0	0	0.34	1	0	0.271	-1.884	-0.466	0.64125926738057	NA	0	13.7908	10	10	TRUE	0.1436
FBtr0336683	3	1	0	0	0	0	2	1	0	0	0	0	0.51	1	0	0.17	-2.556	-0.721	0.470804552409807	NA	0	9.1443	7.5098	7.5098	TRUE	0.2508
FBtr0336685	0	0	0	0	0	1	0	0	0	0	0	1	0.21	0	0	2.031	1.022	0.252	0.801255175673466	NA	0	22.3402	10	10	TRUE	0.5474
FBtr0336689	22	24	31	41	39	30	11	36	44	21	54	37	33.79	30	37	1.242	0.312	0.485	0.627903122404385	0.994737151355003	0.2876	0.2243	0.266	0.266	TRUE	0.3573
FBtr0336690	21	18	16	29	27	25	11	27	23	15	37	31	23.88	20	28	1.389	0.474	0.789	0.429831796208916	0.978468032984892	0.1803	0.2808	0.2125	0.2125	TRUE	0.8202
FBtr0336698	15	6	11	23	5	8	8	9	15	12	7	10	10.13	11	10	0.933	-0.1	-0.153	0.878128646748823	0.999426402835281	0	0.5423	0.2017	0.2017	TRUE	0.4241
FBtr0336699	1527	372	322	1126	487	464	789	557	453	576	669	576	603.35	600	607	1.008	0.012	0.042	0.966455167674827	0.999426402835281	0.0419	0.0958	0.056	0.056	TRUE	0.6366
