Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0087382	2404	837	830	3146	1273	1456	1242	1253	1169	1608	1750	1806	1471.4	1221	1721	1.408	0.494	3.289	0.00100520268718435	0.0241273964891175	0.0021	0.0913	0.0155	0.0155	TRUE	0.0412
FBtr0339974	143	26	32	397	108	73	74	39	45	203	148	91	99.97	53	147	2.766	1.468	3.288	0.00101021933526255	0.0241868845369771	0.1273	0.1342	0.1297	0.1297	TRUE	0.1057
FBtr0083950	172	50	61	256	115	124	89	75	86	131	158	154	115.4	83	148	1.753	0.81	3.286	0.00101651383171961	0.0242159007561404	0	0.1281	0.0338	0.0338	TRUE	0.1222
FBtr0332604	90	43	35	190	76	80	47	64	49	97	104	99	76.83	53	100	1.901	0.927	3.28	0.00103758234569597	0.0246561650177979	0	0.1481	0.0423	0.0423	TRUE	0.2171
FBtr0072795	288	148	155	577	306	378	149	222	218	295	421	469	295.52	196	395	2.018	1.013	3.276	0.00105201250553288	0.0249368834955792	0.05	0.1038	0.0647	0.0647	TRUE	0.4716
FBtr0305917	1599	428	558	3770	869	976	826	641	786	1927	1195	1211	1097.51	751	1444	1.923	0.944	3.273	0.00106268426586169	0.0250032552330766	0.0488	0.0924	0.0588	0.0588	TRUE	1.0433
FBtr0339672	71	25	24	136	47	72	37	37	34	70	65	89	55.23	36	75	2.061	1.043	3.267	0.00108845893205025	0.0254838456105818	0	0.1715	0.0519	0.0519	TRUE	0.2468
FBtr0308213	497	118	95	874	320	261	257	177	134	447	440	324	296.27	189	404	2.12	1.084	3.253	0.0011408469129633	0.0265797805223161	0.0634	0.1037	0.0758	0.0758	TRUE	1.1567
FBtr0335423	987	274	294	1240	577	589	510	410	414	634	793	731	581.98	445	719	1.609	0.686	3.24	0.00119469791014765	0.0277665277702365	0.013	0.0961	0.0304	0.0304	TRUE	0.2032
FBtr0084291	2785	755	835	5039	1398	1507	1439	1131	1176	2575	1922	1869	1685.35	1249	2122	1.699	0.765	3.237	0.00120666660755554	0.0279764625386782	0.0251	0.0909	0.0395	0.0395	TRUE	0.4273
FBtr0302594	17	8	9	24	60	77	9	12	13	12	82	96	37.28	11	63	5.716	2.515	3.235	0.00121556179039266	0.0281142919918728	0.4677	0.2116	0.3772	0.3772	TRUE	1.1004
FBtr0078079	13	9	9	102	28	18	7	13	13	52	38	22	24.3	11	37	3.645	1.866	3.231	0.00123532634675059	0.0284333931357158	0.1251	0.2775	0.176	0.176	TRUE	0.1165
FBtr0336451	8	3	4	21	20	29	4	4	6	11	27	36	14.74	5	25	5.196	2.377	3.213	0.00131326732572296	0.0301545164983472	0	0.4002	0.2614	0.2614	TRUE	0.2149
FBtr0346276	1109	288	308	2072	535	632	573	431	434	1059	735	784	669.41	479	859	1.791	0.841	3.21	0.00132640079952125	0.0303828683140337	0.0325	0.0951	0.0476	0.0476	TRUE	0.5027
FBtr0300248	82	32	23	175	61	58	42	48	32	89	84	72	61.32	41	82	2.003	1.002	3.197	0.00138647051823898	0.0316826800199022	0	0.1632	0.0515	0.0515	TRUE	0.1833
FBtr0081873	352	92	130	649	186	226	182	138	183	332	256	280	228.41	168	289	1.725	0.786	3.19	0.00142258322555853	0.0322757037055887	0.0157	0.1083	0.0387	0.0387	TRUE	0.2288
FBtr0085680	18	2	8	69	20	19	9	3	11	35	27	24	18.31	8	29	3.587	1.843	3.19	0.00142170879288524	0.0322757037055887	0.0301	0.3394	0.1584	0.1584	TRUE	0.4762
FBtr0072160	142	51	49	248	85	102	73	76	69	127	117	127	98.15	73	124	1.695	0.761	3.188	0.00143450087451187	0.0324687858271345	0	0.1351	0.0296	0.0296	TRUE	0.019
FBtr0343527	87	38	34	313	56	87	45	57	48	160	77	108	82.44	50	115	2.34	1.226	3.185	0.00144941927882136	0.032728711630068	0.0691	0.144	0.0913	0.0913	TRUE	0.2107
FBtr0336452	8	3	3	28	14	17	4	4	4	14	19	21	11.25	4	18	4.22	2.077	3.184	0.00145490178692454	0.0327748442732954	0	0.4972	0.1599	0.1599	TRUE	0.2984
FBtr0079290	3317	1010	1195	4222	1772	2162	1714	1513	1683	2158	2436	2682	2030.81	1637	2425	1.481	0.566	3.166	0.00154724282210836	0.0346095700748134	0.0073	0.0905	0.0225	0.0225	TRUE	0.1145
FBtr0100338	116	54	79	346	106	154	60	81	111	177	146	191	127.61	84	171	2.066	1.047	3.163	0.00156010017008689	0.0348154438425244	0.0461	0.1243	0.0693	0.0693	TRUE	0.6534
FBtr0343377	209	53	80	601	104	184	108	79	113	307	143	228	163.07	100	226	2.265	1.18	3.156	0.00159839083532272	0.035503650978532	0.0823	0.1164	0.0928	0.0928	TRUE	0.1046
FBtr0342816	170	103	91	435	195	177	88	154	128	222	268	220	180.03	123	237	1.937	0.954	3.136	0.00170985791243274	0.0378033318969179	0.0391	0.1138	0.0599	0.0599	TRUE	0.7738
FBtr0077198	4464	1488	1588	5667	2212	2463	2307	2228	2236	2896	3041	3055	2627.27	2257	2997	1.327	0.408	3.123	0.0017931834850964	0.0393715332476582	5e-04	0.09	0.0119	0.0119	TRUE	0.0108
FBtr0308594	295	46	31	354	237	263	152	69	44	181	326	326	182.99	88	278	3.099	1.632	3.12	0.00180590608991109	0.0394955263160095	0.233	0.1133	0.1889	0.1889	TRUE	4.3606
FBtr0075395	286	107	145	541	195	236	148	160	204	277	268	293	224.92	171	279	1.644	0.718	3.116	0.00183283051669948	0.0398745250996103	0.009	0.1087	0.0331	0.0331	TRUE	0.2943
FBtr0081890	1038	314	391	1586	517	610	536	470	551	811	711	757	639.2	519	760	1.463	0.549	3.117	0.00182933278502963	0.0398745250996103	0.0036	0.0954	0.0206	0.0206	TRUE	0.0744
FBtr0100482	2114	575	738	2719	1294	1237	1092	861	1039	1390	1779	1534	1282.6	997	1568	1.569	0.65	3.111	0.00186337403939569	0.0404466770419169	0.014	0.0918	0.0305	0.0305	TRUE	0.1676
FBtr0088052	206	50	19	560	139	136	106	75	27	286	191	169	142.34	69	215	3.076	1.621	3.11	0.00187366022646149	0.0405775188589808	0.2253	0.1205	0.1854	0.1854	TRUE	1.2164
FBtr0081257	23	1	11	84	27	27	12	1	15	43	37	33	23.74	9	38	3.831	1.938	3.105	0.00190030383984319	0.040968315135443	0.0809	0.282	0.2129	0.2129	TRUE	1.1146
FBtr0072994	135	82	70	504	112	160	70	123	99	258	154	198	150.19	97	203	2.127	1.089	3.084	0.00204231091704622	0.0436349343689091	0.0657	0.1188	0.0814	0.0814	TRUE	0.182
FBtr0080884	2005	588	763	2752	1048	1153	1036	881	1075	1407	1441	1430	1211.41	997	1426	1.429	0.515	3.066	0.00216817592177475	0.0461172954432848	0.0041	0.092	0.0194	0.0194	TRUE	0.1204
FBtr0334405	435	114	164	1420	254	281	225	171	231	726	349	349	341.66	209	475	2.276	1.186	3.063	0.00218775001995746	0.0464299998667587	0.1051	0.1017	0.1043	0.1043	TRUE	2.5731
FBtr0076797	75	27	22	255	55	49	39	40	31	130	76	61	62.81	37	89	2.441	1.288	3.046	0.00231725540050568	0.048636842976693	0.085	0.1614	0.1081	0.1081	TRUE	0.8097
FBtr0083273	845	247	192	2443	434	504	437	370	270	1249	597	625	591.22	359	824	2.294	1.198	3.045	0.00232542284026595	0.0487009983404268	0.1156	0.096	0.1093	0.1093	TRUE	2.468
FBtr0082522	136	67	95	360	139	358	70	100	134	184	191	444	187.25	101	273	2.702	1.434	3.044	0.0023355368245892	0.0487046716707017	0.1731	0.1128	0.1525	0.1525	TRUE	2.838
FBtr0340632	269	107	109	415	203	196	139	160	154	212	279	243	197.84	151	245	1.622	0.698	3.037	0.00238837000751676	0.0496916545887056	0.0098	0.1115	0.0322	0.0322	TRUE	0.1507
