Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0079321	3086	1021	1313	1476	729	882	1595	1529	1849	754	1002	1094	1303.88	1658	950	0.572	-0.805	-3.46	0.000539903070407615	0.0149556289474249	0.0211	0.0917	0.0381	0.0381	TRUE	0.3997
FBtr0084863	404	129	152	245	97	89	209	193	214	125	133	110	164.16	205	123	0.599	-0.741	-3.456	0.000549119033121095	0.0150360783523302	0	0.1162	0.0263	0.0263	TRUE	0.0711
FBtr0085375	913	382	322	616	212	260	472	572	453	315	291	322	404.35	499	309	0.622	-0.686	-3.451	0.000558106021775711	0.0152383732994291	0.0063	0.0996	0.0257	0.0257	TRUE	0.181
FBtr0335406	37	35	15	13	5	4	19	52	21	7	7	5	18.52	31	6	0.204	-2.29	-3.435	0.000591723740086189	0.0159934905439662	0.1682	0.3366	0.2232	0.2232	TRUE	2.0215
FBtr0308638	289	163	100	169	50	30	149	244	141	86	69	37	121.1	178	64	0.364	-1.456	-3.414	0.000640653844588681	0.0170969073808151	0.1167	0.1262	0.1201	0.1201	TRUE	1.0916
FBtr0332120	2753	790	694	1501	484	494	1423	1183	977	767	665	613	938.04	1194	682	0.571	-0.809	-3.413	0.00064232268258283	0.0170969073808151	0.0223	0.0931	0.0393	0.0393	TRUE	0.1421
FBtr0331591	300	75	67	100	42	50	155	112	94	51	58	62	88.76	120	57	0.465	-1.105	-3.409	0.000652230527392528	0.0172641797097872	0.0338	0.14	0.0623	0.0623	TRUE	0.4221
FBtr0334306	5146	1687	1591	3197	1151	1442	2659	2526	2241	1634	1582	1789	2071.82	2475	1668	0.674	-0.57	-3.409	0.000651189924439218	0.0172641797097872	0.0051	0.0904	0.0196	0.0196	TRUE	0.0829
FBtr0081254	13980	4627	4843	8223	3682	4028	7224	6929	6820	4203	5061	4996	5872.33	6991	4753	0.68	-0.557	-3.407	0.000655953663371212	0.0172681496632012	0.0052	0.089	0.0191	0.0191	TRUE	0.1263
FBtr0301559	2653	762	734	1390	547	621	1371	1141	1034	710	752	770	963.06	1182	744	0.628	-0.67	-3.407	0.000657817014140207	0.0172681496632012	0.0108	0.093	0.0267	0.0267	TRUE	0.2412
FBtr0336759	1328	446	496	372	252	324	686	668	699	190	346	402	498.51	684	313	0.455	-1.135	-3.407	0.000656011628633058	0.0172681496632012	0.0692	0.0974	0.0775	0.0775	TRUE	1.4272
FBtr0306233	892	243	292	415	191	212	461	364	411	212	263	263	328.95	412	246	0.593	-0.755	-3.404	0.000665220836224796	0.0174145311768848	0.0124	0.1022	0.032	0.032	TRUE	0.1799
FBtr0113061	644	334	293	411	161	205	333	500	413	210	221	254	321.87	415	228	0.551	-0.859	-3.393	0.000690496172399895	0.017954001517598	0.0238	0.1025	0.0425	0.0425	TRUE	0.125
FBtr0303445	71	22	20	26	6	7	37	33	28	13	8	9	21.34	33	10	0.32	-1.643	-3.391	0.000695248878160735	0.017954001517598	0	0.3038	0.1066	0.1066	TRUE	0.5043
FBtr0310624	96	37	35	47	15	18	50	55	49	24	21	22	36.88	51	22	0.44	-1.184	-3.392	0.000694784097982462	0.017954001517598	0	0.2129	0.0557	0.0557	TRUE	0.0421
FBtr0339194	59	18	19	13	5	10	30	27	27	7	7	12	18.35	28	9	0.297	-1.752	-3.372	0.000744893603502556	0.0189788533362991	0	0.3388	0.1178	0.1178	TRUE	0.3547
FBtr0076729	1656	538	560	1073	436	447	856	806	789	548	599	554	692.04	817	567	0.693	-0.528	-3.371	0.000749348334112817	0.0190414407353628	0	0.0949	0.0161	0.0161	TRUE	0.0273
FBtr0086272	555	158	146	260	106	76	287	237	206	133	146	94	183.65	243	124	0.51	-0.971	-3.367	0.000759016899234818	0.0191506179920658	0.0304	0.1133	0.0535	0.0535	TRUE	0.3332
FBtr0344431	1378	379	481	849	309	327	712	568	677	434	425	406	536.89	652	422	0.645	-0.632	-3.363	0.000771399024987764	0.0192930743021218	0.006	0.0968	0.0234	0.0234	TRUE	0.147
FBtr0330019	55	9	9	7	2	2	28	13	13	4	3	2	10.56	18	3	0.162	-2.624	-3.355	0.000794192800434778	0.019773185907539	0	0.5237	0.2552	0.2552	TRUE	1.8353
FBtr0084963	1745	760	466	958	222	378	902	1138	656	490	305	469	659.96	899	421	0.469	-1.091	-3.35	0.000807394751085521	0.0200355848518071	0.0621	0.0952	0.0745	0.0745	TRUE	0.1067
FBtr0340273	775	287	215	419	158	188	400	430	303	214	217	233	299.6	378	221	0.585	-0.773	-3.34	0.000838008654803227	0.020741258367844	0.0138	0.1036	0.0347	0.0347	TRUE	0.3271
FBtr0300877	484	136	114	165	92	57	250	204	161	84	126	71	149.3	205	94	0.454	-1.139	-3.323	0.000890513723648859	0.0218703744140463	0.0575	0.119	0.0764	0.0764	TRUE	0.2434
FBtr0077972	611	107	130	165	53	94	316	160	183	84	73	117	155.47	220	91	0.412	-1.278	-3.317	0.000910086759692144	0.0221795824376124	0.0923	0.1178	0.0987	0.0987	TRUE	1.7184
FBtr0332746	1784	721	792	742	481	473	922	1080	1115	379	661	587	790.68	1039	542	0.521	-0.941	-3.299	0.000970319559985335	0.0234674494596453	0.0439	0.094	0.0571	0.0571	TRUE	0.8464
FBtr0300853	67	50	14	17	8	9	35	75	20	9	11	11	26.68	43	10	0.237	-2.075	-3.286	0.00101548680996804	0.0242159007561404	0.2068	0.2606	0.2251	0.2251	TRUE	0.312
