Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.824	0.000000	0.000
FBtr0300738	2350	2176.456	0.185140	3.098
FBtr0300739	2172	1998.456	0.182333	2.802
FBtr0300737	2184	2010.456	0.228818	3.537
FBtr0300736	2338	2164.456	0.151974	2.529
FBtr0078628	2467	2293.456	0.136255	2.403
FBtr0300740	2479	2305.456	0.163398	2.897
FBtr0078627	2301	2127.456	0.159439	2.608
FBtr0300741	2313	2139.456	0.195421	3.215
FBtr0072762	889	715.634	75.685599	416.473
FBtr0346821	1270	1096.456	5.143833	43.367
FBtr0331460	900	726.631	0.331182	1.850
FBtr0303848	5005	4831.456	9.515748	353.512
FBtr0086122	1465	1291.456	0.604211	6.000
FBtr0335147	3125	2951.456	2.517710	57.138
FBtr0081459	3019	2845.456	19.632101	429.538
FBtr0305321	6523	6349.456	1.436493	70.133
FBtr0083716	5665	5491.456	20.269157	855.867
FBtr0078184	1305	1131.456	0.459769	4.000
FBtr0081691	765	591.698	0.108279	0.493
FBtr0085263	1228	1054.456	0.123336	1.000
FBtr0086342	492	318.830	0.000000	0.000
FBtr0086343	495	321.828	0.000000	0.000
FBtr0091847	1023	849.456	1.020986	6.669
FBtr0072393	1393	1219.456	13.629178	127.796
FBtr0343502	867	693.638	0.882910	4.709
FBtr0343753	3569	3395.456	4.008645	104.659
FBtr0433525	3725	3551.456	0.252981	6.908
FBtr0113895	961	787.613	28.400930	172.000
FBtr0345179	887	713.634	58.680995	322.000
FBtr0334135	4703	4529.456	0.290532	10.119
FBtr0334137	4561	4387.456	0.443008	14.945
FBtr0334141	5321	5147.456	0.206155	8.160
FBtr0334139	4203	4029.456	0.459987	14.252
FBtr0334140	5704	5530.456	0.193867	8.244
FBtr0344148	4894	4720.456	0.264615	9.605
FBtr0334142	5071	4897.456	0.228181	8.593
FBtr0334138	5563	5389.456	0.183398	7.600
FBtr0334136	3862	3688.456	1.251678	35.499
FBtr0085105	995	821.580	11.080646	70.000
FBtr0346720	2745	2571.456	0.000000	0.000
FBtr0076089	442	268.862	0.000000	0.000
FBtr0087500	1417	1243.456	12.864466	123.000
FBtr0073094	1694	1520.456	6.572550	76.841
FBtr0073093	1577	1403.456	72.479226	782.159
FBtr0343515	1092	918.456	0.234662	1.657
FBtr0072451	975	801.598	9.141096	56.343
FBtr0071607	2252	2078.456	2.815715	45.000
FBtr0081516	4704	4530.456	0.114825	4.000
FBtr0300749	931	757.627	0.687370	4.004
FBtr0346532	1185	1011.456	0.580502	4.515
FBtr0073076	880	706.635	67.448671	366.481
FBtr0089289	4677	4503.456	3.383870	117.177
FBtr0100448	4590	4416.456	1.567324	53.225
FBtr0089290	4681	4507.456	1.338282	46.383
FBtr0089288	4037	3863.456	7.611935	226.128
FBtr0100447	4417	4243.456	1.408155	45.947
FBtr0329933	4663	4489.456	1.299248	44.851
FBtr0336949	2826	2652.456	21.587723	440.289
FBtr0088786	1378	1204.456	75.284921	697.239
FBtr0088785	1869	1695.456	19.149123	249.642
FBtr0303077	607	433.782	0.000000	0.000
FBtr0339716	615	441.775	0.079861	0.271
FBtr0085459	600	426.785	79.145852	259.729
FBtr0070973	1218	1044.456	0.622583	5.000
FBtr0089252	2767	2593.456	2.428997	48.438
FBtr0334488	2840	2666.456	1.600443	32.814
FBtr0334489	2902	2728.456	1.625867	34.110
FBtr0100600	3804	3630.456	3.354331	93.638
FBtr0300305	309	135.965	0.000000	0.000
FBtr0077162	567	393.796	0.000000	0.000
FBtr0072277	713	539.719	57.830966	240.000
FBtr0344898	1082	908.456	0.000000	0.000
FBtr0086817	1175	1001.456	0.000000	0.000
FBtr0333271	5146	4972.456	0.743393	28.423
FBtr0072639	5149	4975.456	0.931595	35.640
FBtr0340000	824	650.671	1.987748	9.945
FBtr0087390	427	253.876	99.919894	195.055
FBtr0070472	3021	2847.456	2.881324	63.086
FBtr0331752	4499	4325.456	16.740865	556.792
FBtr0070475	3174	3000.456	6.802569	156.943
FBtr0070474	3218	3044.456	1.635520	38.287
FBtr0302185	2166	1992.456	1.431675	21.934
FBtr0070471	4805	4631.456	10.441548	371.848
FBtr0112828	2903	2729.456	4.814542	101.045
FBtr0301966	3182	3008.456	1.376026	31.831
FBtr0070468	3055	2881.456	7.685079	170.272
FBtr0070476	2745	2571.456	0.522000	10.321
FBtr0070470	3110	2936.456	1.833395	41.396
FBtr0331751	4750	4576.456	1.207641	42.496
FBtr0070469	4244	4070.456	12.012992	375.991
FBtr0070467	2929	2755.456	0.599085	12.693
FBtr0331753	5004	4830.456	0.639854	23.766
FBtr0070466	2847	2673.456	2.482588	51.034
FBtr0070473	3091	2917.456	2.612658	58.610
FBtr0076265	1575	1401.456	47.790695	514.998
FBtr0331935	1030	856.456	0.174330	1.148
FBtr0088237	816	642.674	97.912599	483.852
FBtr0081705	1363	1189.456	0.000000	0.000
FBtr0088524	1299	1125.456	87.012883	753.000
FBtr0074540	843	669.652	26.800734	138.000
FBtr0074494	1357	1183.456	0.659350	6.000
FBtr0085714	3349	3175.456	103.567199	2528.782
FBtr0085713	3440	3266.456	866.846907	21772.195
FBtr0076256	334	160.955	1.616008	2.000
FBtr0339552	1718	1544.456	12.333356	146.467
FBtr0078950	1533	1359.456	28.367755	296.533
FBtr0070990	1321	1147.456	1.329468	11.730
FBtr0100409	805	631.677	1.537791	7.469
FBtr0343330	706	532.721	107.132754	438.839
FBtr0304902	1617	1443.456	0.000000	0.000
FBtr0304901	2286	2112.456	0.061564	1.000
FBtr0078872	1228	1054.456	0.000000	0.000
FBtr0077839	2112	1938.456	13.676262	203.848
FBtr0077837	2331	2157.456	3.194719	52.998
FBtr0077838	2235	2061.456	3.693314	58.543
FBtr0077836	2325	2151.456	18.655062	308.612
FBtr0075133	4018	3844.456	0.588461	17.395
FBtr0332862	2190	2016.456	2.102841	32.605
FBtr0087988	1754	1580.456	164.728426	2001.861
FBtr0087987	1948	1774.456	473.970132	6466.945
FBtr0074688	1633	1459.456	52.307524	587.000
FBtr0086864	3503	3329.456	13.319812	341.000
FBtr0083361	1283	1109.456	0.000000	0.000
FBtr0392904	4164	3990.456	10.296103	315.921
FBtr0084588	2385	2211.456	78.457565	1334.124
FBtr0303161	2639	2465.456	17.345301	328.823
FBtr0079257	1918	1744.456	15.208529	204.000
FBtr0307341	906	732.629	0.058539	0.330
FBtr0084989	527	353.810	0.435910	1.186
FBtr0306309	750	576.705	0.032156	0.143
FBtr0344570	539	365.805	2.437962	6.857
FBtr0078090	1219	1045.456	32.840918	264.000
FBtr0087439	546	372.804	21.977435	63.000
FBtr0070960	2096	1922.456	0.069633	1.029
FBtr0302357	2296	2122.456	0.060922	0.994
FBtr0302356	2428	2254.456	0.056326	0.976
FBtr0340571	3830	3656.456	0.017784	0.500
FBtr0340572	3825	3651.456	0.017808	0.500
FBtr0080267	3305	3131.456	0.000000	0.000
FBtr0077141	787	613.688	0.000000	0.000
FBtr0306593	981	807.594	0.000000	0.000
FBtr0081719	1938	1764.456	80.045338	1086.000
FBtr0071549	1655	1481.456	33.358914	380.000
FBtr0308832	1068	894.456	8.110493	55.781
FBtr0308833	2043	1869.456	26.719449	384.084
FBtr0074921	2263	2089.456	8.846778	142.135
FBtr0073011	1996	1822.456	0.071361	1.000
FBtr0112378	450	276.860	0.000000	0.000
FBtr0342602	1596	1422.456	0.234525	2.565
FBtr0080326	1217	1043.456	92.549924	742.563
FBtr0085405	675	501.732	181.444253	700.000
FBtr0339295	331	157.956	0.000000	0.000
FBtr0300316	205	34.237	0.000000	0.000
FBtr0300904	2130	1956.456	0.033251	0.500
FBtr0081633	2196	2022.456	0.032138	0.500
FBtr0300905	2052	1878.456	0.000000	0.000
FBtr0335279	1234	1060.456	0.302842	2.469
FBtr0335281	1199	1025.456	0.355676	2.804
FBtr0290216	733	559.712	0.013660	0.059
FBtr0335280	740	566.709	0.013688	0.060
FBtr0077120	1711	1537.456	18.679788	220.830
FBtr0081676	887	713.634	0.000000	0.000
FBtr0076639	2093	1919.456	0.271018	4.000
FBtr0079280	1148	974.456	0.000000	0.000
FBtr0304827	5797	5623.456	0.080097	3.463
FBtr0433494	6405	6231.456	0.179810	8.616
FBtr0333832	6581	6407.456	0.106232	5.234
FBtr0433497	5654	5480.456	0.155373	6.547
FBtr0333833	6118	5944.456	0.067763	3.097
FBtr0433496	5848	5674.456	0.078966	3.445
FBtr0304826	8410	8236.456	0.080913	5.124
FBtr0433495	8302	8128.456	0.077998	4.875
FBtr0433493	8251	8077.456	0.078776	4.893
FBtr0300808	2019	1845.456	0.000000	0.000
FBtr0300809	4061	3887.456	0.000000	0.000
FBtr0301700	4064	3890.456	0.000000	0.000
FBtr0072287	5108	4934.456	30.361986	1152.000
FBtr0343633	2816	2642.456	5.241950	106.508
FBtr0074281	2640	2466.456	66.064490	1252.923
FBtr0343632	2730	2556.456	2.237826	43.989
FBtr0074279	3898	3724.456	36.424857	1043.143
FBtr0074280	3895	3721.456	3.207113	91.772
FBtr0072238	1035	861.456	0.000000	0.000
FBtr0308073	1317	1143.456	1.358889	11.948
FBtr0082360	764	590.699	87.420645	397.066
FBtr0082361	1024	850.456	0.150778	0.986
FBtr0079938	1428	1254.456	3.110161	30.000
FBtr0077227	1279	1105.456	169.219819	1438.386
FBtr0091702	1278	1104.456	7.255127	61.614
FBtr0074882	2425	2251.456	15.073529	260.952
FBtr0332153	3588	3414.456	2.529221	66.404
FBtr0310476	2042	1868.456	6.922104	99.450
FBtr0100666	2416	2242.456	7.696185	132.704
FBtr0332726	2033	1859.456	4.381732	62.649
FBtr0080287	1089	915.456	14.641133	103.061
FBtr0309307	5887	5713.456	0.035143	1.544
FBtr0300898	5037	4863.456	0.012197	0.456
FBtr0080024	1050	876.456	8.505680	57.322
FBtr0077389	2263	2089.456	93.985477	1510.000
FBtr0290204	1958	1784.456	0.000000	0.000
FBtr0086689	848	674.650	34.233379	177.587
FBtr0306636	1574	1400.456	12.124498	130.562
FBtr0086687	1472	1298.456	14.895636	148.720
FBtr0086690	2195	2021.456	0.703943	10.942
FBtr0086686	1532	1358.456	0.894189	9.340
FBtr0340359	2225	2051.456	0.975450	15.387
FBtr0301148	981	807.594	77.939104	483.985
FBtr0086684	908	734.629	0.371814	2.100
FBtr0306637	2237	2063.456	1.334930	21.181
FBtr0301149	1514	1340.456	0.698234	7.197
FBtr0086600	1106	932.456	3.225554	23.127
FBtr0331978	1118	944.456	21.188411	153.873
FBtr0078769	621	447.768	4253.277957	14644.000
FBtr0070712	1878	1704.456	0.915614	12.000
FBtr0343263	1108	934.456	0.000000	0.000
FBtr0343264	928	754.627	0.000000	0.000
FBtr0072024	920	746.628	0.000000	0.000
FBtr0113111	979	805.597	0.000000	0.000
FBtr0333452	4664	4490.456	0.280911	9.699
FBtr0333450	3996	3822.456	0.153031	4.498
FBtr0333451	4043	3869.456	0.149000	4.433
FBtr0300831	4092	3918.456	0.145025	4.370
FBtr0076303	1640	1466.456	1.307561	14.744
FBtr0076302	1655	1481.456	1.270564	14.473
FBtr0076301	2049	1875.456	68.705039	990.783
FBtr0077098	1123	949.456	94.262333	688.170
FBtr0070552	1047	873.456	0.297787	2.000
FBtr0075818	1346	1172.456	29.616369	267.000
FBtr0088789	1908	1734.456	5.323682	71.000
FBtr0304960	503	329.825	0.000000	0.000
FBtr0075249	843	669.652	0.194208	1.000
FBtr0084104	1804	1630.456	238.090305	2984.927
FBtr0336911	2177	2003.456	7.805899	120.250
FBtr0088974	1597	1423.456	15.983883	174.948
FBtr0100360	4963	4789.456	0.536722	19.766
FBtr0110880	2920	2746.456	0.100822	2.129
FBtr0334105	2225	2051.456	0.142900	2.254
FBtr0301185	2946	2772.456	0.099201	2.115
FBtr0110881	4262	4088.456	1.582079	49.736
FBtr0336928	1138	964.456	0.121540	0.901
FBtr0072107	995	821.580	0.173914	1.099
FBtr0085786	2956	2782.456	17.547593	375.430
FBtr0085785	3082	2908.456	0.995403	22.261
FBtr0334549	2894	2720.456	2.486140	52.006
FBtr0334550	3020	2846.456	0.699202	15.303
FBtr0340191	4545	4371.456	6.571511	220.889
FBtr0073848	4477	4303.456	61.229798	2026.111
FBtr0078387	3371	3197.456	9.470286	232.836
FBtr0087487	2027	1853.456	15.787642	225.000
FBtr0083735	2688	2514.456	0.145098	2.805
FBtr0332539	2448	2274.456	0.183060	3.202
FBtr0077790	977	803.598	0.000000	0.000
FBtr0331440	941	767.626	0.000000	0.000
FBtr0331439	971	797.604	0.000000	0.000
FBtr0082634	1746	1572.456	20.263042	245.000
FBtr0079612	1320	1146.456	7.775650	68.545
FBtr0087980	1799	1625.456	0.039850	0.498
FBtr0087979	1558	1384.456	0.047151	0.502
FBtr0072044	1063	889.456	0.000000	0.000
FBtr0343206	1072	898.456	0.000000	0.000
FBtr0072043	1160	986.456	0.000000	0.000
FBtr0075225	1132	958.456	0.000000	0.000
FBtr0112489	446	272.861	10.349300	21.714
FBtr0339263	740	566.709	0.086654	0.378
FBtr0301018	2276	2102.456	0.866001	14.000
FBtr0302526	640	466.744	3.900915	14.000
FBtr0100009	3280	3106.456	6.489085	155.000
FBtr0089901	2338	2164.456	0.558324	9.292
FBtr0089902	1803	1629.456	0.365123	4.575
FBtr0300562	2617	2443.456	4.996749	93.880
FBtr0089900	2125	1951.456	0.549317	8.243
FBtr0089904	2355	2181.456	0.701550	11.768
FBtr0301521	2467	2293.456	1.104104	19.471
FBtr0089905	2568	2394.456	0.693678	12.772
FBtr0345390	5214	5040.456	0.781700	30.297
FBtr0331425	3556	3382.456	3.861494	100.432
FBtr0332155	4408	4234.456	3.343399	108.860
FBtr0075014	3541	3367.456	1.715191	44.412
FBtr0078874	603	429.784	0.000000	0.000
FBtr0083452	2975	2801.456	10.035903	216.184
FBtr0302317	2262	2088.456	23.091405	370.816
FBtr0333248	2543	2369.456	0.054433	0.992
FBtr0114524	2411	2237.456	0.058606	1.008
FBtr0273385	6171	5997.456	0.878534	40.514
FBtr0339307	6637	6463.456	0.892067	44.335
FBtr0273384	6439	6265.456	2.680782	129.151
FBtr0082117	3807	3633.456	3.623150	101.225
FBtr0082116	6303	6129.456	1.577652	74.356
FBtr0082118	4671	4497.456	2.585700	89.419
FBtr0085011	1569	1395.456	0.372787	4.000
FBtr0081174	4145	3971.456	0.462525	14.124
FBtr0081175	3934	3760.456	0.589749	17.053
FBtr0303241	4041	3867.456	0.868972	25.841
FBtr0081176	3893	3719.456	0.639696	18.295
FBtr0305129	2997	2823.456	9.319925	202.338
FBtr0339156	2994	2820.456	3.007394	65.222
FBtr0339157	2988	2814.456	1.697663	36.739
FBtr0071784	2049	1875.456	1.056645	15.238
FBtr0071785	1989	1815.456	54.787579	764.805
FBtr0089148	3050	2876.456	1.313737	29.057
FBtr0089147	2773	2599.456	2.117883	42.332
FBtr0089150	2762	2588.456	3.716337	73.967
FBtr0089146	2709	2535.456	4.261497	83.081
FBtr0308247	2614	2440.456	17.294006	324.526
FBtr0089149	2840	2666.456	2.830665	58.037
FBtr0302559	2531	2357.456	0.000000	0.000
FBtr0346506	2597	2423.456	0.000000	0.000
FBtr0302190	3048	2874.456	4.819685	106.526
FBtr0086145	3054	2880.456	5.349058	118.474
FBtr0306281	375	201.934	0.000000	0.000
FBtr0306280	392	218.916	0.000000	0.000
FBtr0306258	4812	4638.456	3.162235	112.785
FBtr0073119	3828	3654.456	80.340670	2257.570
FBtr0073120	4106	3932.456	77.610596	2346.756
FBtr0073118	4763	4589.456	88.808227	3133.989
FBtr0337055	3442	3268.456	15.910940	399.872
FBtr0333895	3491	3317.456	76.959711	1963.141
FBtr0337056	4046	3872.456	3.153086	93.887
FBtr0077442	1411	1237.456	5.359910	51.000
FBtr0076018	1266	1092.456	3.091180	25.966
FBtr0076017	963	789.611	10.217178	62.034
FBtr0339781	3357	3183.456	0.393103	9.623
FBtr0070778	3093	2919.456	0.623149	13.989
FBtr0344824	2804	2630.456	1.848535	37.389
FBtr0345292	830	656.667	13.805373	69.707
FBtr0070983	837	663.658	24.189279	123.438
FBtr0070982	1100	926.456	1.960455	13.966
FBtr0070981	941	767.626	77.435749	457.061
FBtr0070980	854	680.646	5065.652665	26511.828
FBtr0307300	2919	2745.456	12.882464	271.955
FBtr0113024	3030	2856.456	1.094627	24.042
FBtr0332600	2913	2739.456	0.596373	12.562
FBtr0083414	2815	2641.456	17.504551	355.531
FBtr0337043	3789	3615.456	1.024065	28.469
FBtr0077516	1338	1164.456	0.000000	0.000
FBtr0112524	1274	1100.456	2.599963	22.000
FBtr0089233	3691	3517.456	3.458731	93.547
FBtr0334626	3376	3202.456	1.855699	45.696
FBtr0310651	3526	3352.456	7.052254	181.792
FBtr0089229	3501	3327.456	12.662056	323.966
FBtr0082920	981	807.594	0.000000	0.000
FBtr0077386	1734	1560.456	21.546830	258.534
FBtr0071106	2301	2127.456	0.061130	1.000
FBtr0070937	2201	2027.456	126.934061	1978.849
FBtr0070938	2487	2313.456	59.428252	1057.151
FBtr0070397	1267	1093.456	1.070430	9.000
FBtr0074346	819	645.674	0.000000	0.000
FBtr0071471	1606	1432.456	0.000000	0.000
FBtr0330316	1609	1435.456	0.000000	0.000
FBtr0074918	1253	1079.456	18.732108	155.480
FBtr0072124	2163	1989.456	23.206575	355.000
FBtr0071683	1189	1015.456	79.148828	618.000
FBtr0077403	1061	887.456	0.025316	0.173
FBtr0113021	1089	915.456	0.024888	0.175
FBtr0077402	1231	1057.456	0.182520	1.484
FBtr0077401	1011	837.456	0.026087	0.168
FBtr0300280	1584	1410.456	0.184411	2.000
FBtr0346378	3461	3287.456	0.749530	18.947
FBtr0074809	2896	2722.456	35.479691	742.718
