Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0073576	11449	3809	4900	7338	3336	3543	5916	5704	6901	3750	4586	4395	5208.64	6174	4244	0.685	-0.546	-3.728	0.000193190448367031	0.00396181316029678	0.0064	0.0268	0.0152	0.0152	TRUE	NA
FBtr0308612	1101	203	241	472	131	182	569	304	339	241	180	226	309.9	404	216	0.548	-0.868	-3.728	0.000193366366115428	0.00396181316029678	0.0248	0.0464	0.035	0.035	TRUE	NA
FBtr0330263	892	222	103	105	82	85	461	332	145	54	113	105	201.71	313	91	0.292	-1.777	-3.724	0.000195779798106476	0.00399311058807665	0.2838	0.0576	0.1564	0.1564	TRUE	NA
FBtr0071758	955	300	387	631	212	255	493	449	545	323	291	316	403	496	310	0.626	-0.676	-3.722	0.000197336299778849	0.00401577142777952	0.0048	0.0416	0.021	0.021	TRUE	NA
FBtr0290197	1942	428	545	985	266	413	1004	641	768	503	366	512	632.22	804	460	0.579	-0.789	-3.7	0.000215607084218974	0.00431932858718678	0.0264	0.0358	0.0309	0.0309	TRUE	NA
FBtr0334660	53148	7191	6769	31542	5142	6298	27464	10769	9533	16121	7068	7812	13127.85	15922	10334	0.68	-0.555	-3.691	0.000223081184334246	0.00443946330413517	0.0095	0.026	0.0162	0.0162	TRUE	NA
FBtr0079664	8918	3346	3313	6509	2520	2975	4608	5011	4666	3327	3464	3690	4127.62	4762	3494	0.733	-0.447	-3.681	0.000231904881264209	0.00458473201353613	0.001	0.0271	0.0104	0.0104	TRUE	NA
FBtr0113270	2378	976	722	795	489	692	1229	1462	1017	406	672	858	940.68	1236	645	0.502	-0.996	-3.681	0.000231906577722959	0.00458473201353613	0.0722	0.0324	0.0515	0.0515	TRUE	NA
FBtr0083724	3409	1278	1431	2290	984	1214	1762	1914	2015	1170	1353	1506	1619.93	1897	1343	0.705	-0.503	-3.678	0.000234673407900242	0.00462927958910433	0.0025	0.0295	0.0128	0.0128	TRUE	NA
FBtr0086272	555	158	146	260	106	76	287	237	206	133	146	94	183.65	243	124	0.512	-0.966	-3.677	0.000235673126599859	0.00463884986091208	0.0241	0.0608	0.0431	0.0431	TRUE	NA
FBtr0088521	304	101	159	147	26	67	157	151	224	75	36	83	121.04	177	65	0.367	-1.446	-3.671	0.000241698699338435	0.00473676907507824	0.1284	0.079	0.1008	0.1008	TRUE	NA
FBtr0070334	6056	2064	2679	3710	1738	2010	3129	3091	3773	1896	2389	2493	2795.26	3331	2259	0.674	-0.569	-3.67	0.000242292458683364	0.00473810523867794	0.0094	0.0279	0.017	0.017	TRUE	NA
FBtr0336477	316	136	147	216	59	75	163	204	207	110	81	93	143.08	191	95	0.502	-0.993	-3.655	0.000257573499321707	0.00499360235781761	0.0215	0.0707	0.0449	0.0449	TRUE	NA
FBtr0084275	598	358	367	376	188	287	309	536	517	192	258	356	361.43	454	269	0.597	-0.745	-3.648	0.000264336072464489	0.00511371178812739	0.0122	0.0434	0.027	0.027	TRUE	NA
FBtr0073286	2789	825	675	1700	501	612	1441	1235	951	869	689	759	990.66	1209	772	0.641	-0.641	-3.642	0.000270897467818985	0.00521824929997468	0.0126	0.0321	0.0211	0.0211	TRUE	NA
FBtr0072924	84521	38720	52515	52736	34278	37002	43676	57984	73956	26954	47120	45896	49264.35	58539	39990	0.674	-0.568	-3.636	0.000276598810712352	0.00531671274748797	0.0106	0.0257	0.0176	0.0176	TRUE	NA
FBtr0072740	385	198	152	141	96	131	199	297	214	72	132	162	179.34	237	122	0.492	-1.022	-3.588	0.000333280110802309	0.00628560711063351	0.043	0.0616	0.0521	0.0521	TRUE	NA
FBtr0308638	289	163	100	169	50	30	149	244	141	86	69	37	121.1	178	64	0.357	-1.487	-3.587	0.000334751299167822	0.0063001731983255	0.1515	0.0789	0.1124	0.1124	TRUE	NA
FBtr0304026	1767	411	242	923	193	185	913	615	341	472	265	229	472.65	623	322	0.517	-0.951	-3.585	0.000337593080158124	0.00634042003671977	0.0567	0.0392	0.0478	0.0478	TRUE	NA
FBtr0085375	913	382	322	616	212	260	472	572	453	315	291	322	404.35	499	309	0.622	-0.684	-3.581	0.00034273382742886	0.00642358722301698	0.009	0.0415	0.0236	0.0236	TRUE	NA
FBtr0084054	62	18	20	9	3	7	32	27	28	5	4	9	17.43	29	6	0.194	-2.364	-3.57	0.000357042898991149	0.00666406156191555	0	0.3966	0.2109	0.2109	TRUE	NA
FBtr0340406	491	265	216	284	127	180	254	397	304	145	175	223	249.63	318	181	0.57	-0.812	-3.568	0.000359326803671736	0.00669283292376177	0.016	0.0514	0.0328	0.0328	TRUE	NA
FBtr0087631	2662	621	667	1650	482	571	1376	930	939	843	663	708	909.84	1082	738	0.689	-0.538	-3.563	0.00036612495139308	0.00679409503239147	0.0037	0.0326	0.0151	0.0151	TRUE	NA
FBtr0307091	90626	29057	31903	48889	23980	27242	46831	43514	44929	24987	32964	33790	37835.74	45091	30580	0.672	-0.572	-3.553	0.000380653467670754	0.00698898372922983	0.0114	0.0257	0.0187	0.0187	TRUE	NA
FBtr0077972	611	107	130	165	53	94	316	160	183	84	73	117	155.47	220	91	0.429	-1.223	-3.552	0.000382434128866285	0.00700740583684871	0.0871	0.0671	0.0768	0.0768	TRUE	NA
FBtr0081792	5581	1461	1383	3619	1105	1253	2884	2188	1948	1850	1519	1554	1990.39	2340	1641	0.707	-0.501	-3.549	0.000386520549805873	0.00706791634178488	0.0043	0.0288	0.0138	0.0138	TRUE	NA
FBtr0334585	950	297	693	191	261	318	491	445	976	98	359	394	460.41	637	284	0.385	-1.378	-3.546	0.000391561914348016	0.00713117304615628	0.1928	0.0396	0.1062	0.1062	TRUE	NA
FBtr0332141	1660	583	525	693	388	464	858	873	739	354	533	576	655.55	823	488	0.579	-0.789	-3.533	0.000411255841022579	0.00747474073955353	0.033	0.0354	0.0342	0.0342	TRUE	NA
FBtr0306233	892	243	292	415	191	212	461	364	411	212	263	263	328.95	412	246	0.592	-0.757	-3.523	0.000427493177558146	0.00772314828794927	0.0172	0.0452	0.0298	0.0298	TRUE	NA
FBtr0310055	738	137	128	274	97	84	381	205	180	140	133	104	190.73	255	126	0.511	-0.969	-3.506	0.000455142137248973	0.00818983306846206	0.0374	0.0594	0.0481	0.0481	TRUE	NA
FBtr0075173	1050	355	245	412	184	228	543	532	345	211	253	283	360.93	473	249	0.523	-0.934	-3.504	0.000459033621766092	0.00824340259008231	0.0517	0.0435	0.048	0.048	TRUE	NA
FBtr0347364	122	65	76	75	24	20	63	97	107	38	33	25	60.59	89	32	0.374	-1.42	-3.488	0.000486578282893991	0.00866897869622397	0.0643	0.1323	0.0978	0.0978	TRUE	NA
FBtr0076729	1656	538	560	1073	436	447	856	806	789	548	599	554	692.04	817	567	0.693	-0.528	-3.486	0.00048993241531497	0.0087115201658076	0.0012	0.0349	0.015	0.015	TRUE	NA
FBtr0073296	341	129	127	213	57	85	176	193	179	109	78	105	140.15	183	97	0.537	-0.897	-3.462	0.000535473593801523	0.0094283094689858	0.0072	0.0717	0.0401	0.0401	TRUE	NA
FBtr0303471	1837	984	847	1258	505	744	949	1474	1193	643	694	923	979.28	1205	753	0.63	-0.667	-3.449	0.000563144631534513	0.00985116883392068	0.0205	0.0321	0.0258	0.0258	TRUE	NA
